"state","year","price","pop","pop16","cpi","ndi","sales","pimin"
1,63,28.6,3383,2236.5,30.6,1558.3,93.9,26.1
1,64,29.8,3431,2276.7,31,1684.07,95.4,27.5
1,65,29.8,3486,2327.5,31.5,1809.84,98.5,28.9
1,66,31.5,3524,2369.7,32.4,1915.16,96.4,29.5
1,67,31.6,3533,2393.7,33.4,2023.55,95.5,29.6
1,68,35.6,3522,2405.2,34.8,2202.49,88.4,32
1,69,36.6,3531,2411.9,36.7,2377.33,90.1,32.8
1,70,39.6,3444,2394.6,38.8,2591.04,89.8,34.3
1,71,42.7,3481,2443.5,40.5,2785.32,95.4,35.8
1,72,42.3,3511,2484.7,41.8,3034.81,101.1,37.4
1,73,42.1,3540,2526,44.4,3387.57,102.9,37.3
1,74,43.1,3574,2573.9,49.3,3718.87,108.2,41.4
1,75,46.6,3614,2623.7,53.8,4087.99,111.7,43
1,76,50.4,3657,2677.4,56.9,4486.77,116.2,46.4
1,77,50.1,3690,2719.6,60.6,4899.87,117.1,48.8
1,78,55.1,3728,2764.6,65.2,5451,123,53.6
1,79,56.8,3769,2810.7,72.6,5957.14,121.4,56.5
1,80,60.6,3894,2898.9,82.4,6466.35,123.2,59.3
1,81,68.8,3917,2924.7,90.9,7042.02,119.6,62.6
1,82,73.1,3943,2953.5,96.5,7505.22,119.1,67.8
1,83,84.4,3959,2977.5,99.6,7974.55,116.3,78.6
1,84,90.8,3990,3009.1,103.9,8693.38,113,86.8
1,85,99,4020,3039.8,107.6,9059.43,114.5,90.7
1,86,103,4050,3072.4,109.6,9674.99,116.3,98.8
1,87,110,4083,3104,113.6,10213.8,114,103.5
1,88,114.4,4102,3124,118.3,10993,112.1,109.2
1,89,122.3,4118,3140,124,11634,105.6,121.5
1,90,139.1,4129.2,3148.6,130.7,12806,108.6,132.3
1,91,144.4,4178.3,3185.1,136.2,13360,107.9,137.4
1,92,172.2,4226.3,3226.7,140.3,14533,109.1,159.5
3,63,23.9,1517,982.4,30.6,1944.75,125,24.9
3,64,24,1549,1005.6,31,2063.52,121,25.5
3,65,24.2,1575,1024.9,31.5,2162.66,123.2,25.3
3,66,29.6,1609,1051.9,32.4,2318.62,113.9,25.5
3,67,29.2,1637,1078.9,33.4,2446.68,117.1,26
3,68,31.3,1667,1106,34.8,2720.37,115.6,32.3
3,69,36.1,1693,1117.5,36.7,2979.6,113.8,33.3
3,70,37.1,1772,1226.6,38.8,3269.82,115.2,34.6
3,71,38.5,1878,1313.5,40.5,3549.7,109.6,36.6
3,72,38,1975,1393.6,41.8,3800.67,125,37.2
3,73,38.7,2075,1476.5,44.4,4219.98,128.3,36.5
3,74,39.2,2156,1547,49.3,4508.13,133.1,37.8
3,75,47.7,2200,1591.4,53.8,4742.58,121.8,40.5
3,76,49.1,2244,1635.8,56.9,5158.79,122.3,43.4
3,77,48.7,2304,1690.8,60.6,5567.78,121.7,44.7
3,78,53.6,2373,1750.6,65.2,6283.5,124.7,49.5
3,79,58.6,2450,1812.4,72.6,7099.4,124.6,53.7
3,80,60.8,2718,2044,82.4,7823.39,126.8,57.2
3,81,63.3,2794,2103.8,90.9,8647.56,113.8,62.7
3,82,73.3,2860,2153.1,96.5,8879.94,113.5,68.1
3,83,80.5,2963,2231.2,99.6,9579.13,111.1,79.6
3,84,92.8,3053,2300.7,103.9,10550,107.1,90.2
3,85,98.8,3161,2384.7,107.6,11256.4,107.1,97.5
3,86,106.7,3279,2483.1,109.6,11796.5,107.9,101.2
3,87,113.5,3386,2569,113.6,12367.7,106.1,103.9
3,88,113.5,3489,2638,118.3,13008,102.2,113.7
3,89,125.6,3556,2672,124,13625,96.8,126.4
3,90,130.2,3598.2,2703.7,130.7,13826,88.9,133.6
3,91,151.4,3681.7,2759.1,136.2,14232,81.2,146.9
3,92,165.7,3762.2,2804.8,140.3,15179,79,165.4
4,63,27,1907,1296.7,30.6,1480.33,103.4,25.8
4,64,27.3,1939,1320.7,31,1610.08,102.6,25.7
4,65,27.2,1941,1323.6,31.5,1710.2,100.3,26.1
4,66,30.3,1963,1344.8,32.4,1883.88,98.9,26.2
4,67,30.4,1972,1357.3,33.4,2004.43,102.9,27.5
4,68,30.9,1983,1374.6,34.8,2143.37,104,29.2
4,69,30.9,1995,1389,36.7,2286.4,102.9,29.9
4,70,36.7,1923,1366.9,38.8,2493.78,100.3,34.3
4,71,38.8,1961,1405.4,40.5,2710.37,104.1,36.8
4,72,44.1,1999,1442.9,41.8,2950.45,103.9,37.4
4,73,45.1,2030,1474.6,44.4,3410.18,108,37.3
4,74,45.5,2063,1508.3,49.3,3807.59,109.7,38
4,75,48.6,2112,1552.5,53.8,4057.89,114.8,43
4,76,50.9,2113,1565.1,56.9,4362.34,119.1,44.7
4,77,52.6,2143,1596.8,60.6,4859.87,122.6,45.9
4,78,56.5,2167,1623.7,65.2,5467.73,127.3,49.9
4,79,58.4,2180,1641,72.6,6015.32,126.5,52.2
4,80,61.5,2286,1715.1,82.4,6278.9,131.8,57.3
4,81,64.7,2296,1725.7,90.9,7101.31,128.7,59.9
4,82,72.1,2291,1724.7,96.5,7390.43,127.4,64.7
4,83,82,2328,1757.4,99.6,7886.94,128,74.8
4,84,93.6,2349,1776.7,103.9,8546.91,123.1,84.8
4,85,98.5,2359,1790.1,107.6,9134.34,125.8,92.5
4,86,103.6,2371,1804.6,109.6,9550.14,126,98.8
4,87,113,2388,1819,113.6,9886.26,122.3,103.5
4,88,119.9,2395,1823,118.3,10630,121.5,112.1
4,89,127.7,2406,1831,124,11243,118.3,118.9
4,90,141.2,2411.1,1834.9,130.7,12370,113.1,129.1
4,91,146.5,2432.7,1851.2,136.2,12917,116.8,132.5
4,92,177.3,2460.4,1876.7,140.3,13879,126,153.1
5,63,25.3,17556,12072,30.6,2776.1,142,23.9
5,64,25.5,18003,12384.3,31,2974.93,138.3,24
5,65,25.3,18403,12673.3,31.5,3107.84,140,24.2
5,66,25.5,18669,12898.5,32.4,3296.95,136.8,29.6
5,67,26,18992,13181.8,33.4,3462.29,135.8,29.2
5,68,35.4,19179,13370.3,34.8,3690.3,124.3,31.3
5,69,36.6,19443,13681.6,36.7,3919.39,123.9,33.3
5,70,38.8,19953,14317.6,38.8,4192.78,123,37.1
5,71,39.7,20266,14670.5,40.5,4414.31,121,38.5
5,72,39.9,20447,14938.3,41.8,4650.96,123.5,38
5,73,39.9,20670,15243.7,44.4,5103.74,124.4,38.7
5,74,41.9,20915,15566.6,49.3,5607.3,126.7,39.2
