year	statecode	p5	p10	p15	p20	p25	p30	p35	p40	p45	p50	p55	p60	p65	p70	p75	p80	p85	p90	p95	intra_dummy
1977	"Alabama"	6.684612	7.306531	7.596894	7.83992	8.188689	8.407378	8.556414	8.699514	8.853665	8.974618	9.074521	9.198773	9.288412	9.385553	9.433644	9.562546	9.666372	9.792444	10.07635	0
1978	"Alabama"	6.666957	7.193686	7.616776	7.952263	8.218248	8.517193	8.652248	8.779557	8.925986	9.071078	9.194211	9.25913	9.392662	9.472705	9.54717	9.660906	9.769957	9.909072	10.11892	0
1979	"Alabama"	6.089045	7.029973	7.552238	8.006368	8.286017	8.517193	8.699514	8.779557	8.961879	9.10498	9.212837	9.325453	9.419628	9.546813	9.631416	9.748003	9.893437	10.00293	10.19709	0
1980	"Alabama"	5.010635	6.907755	7.495542	7.824446	8.160519	8.419139	8.621553	8.779557	8.934455	9.062304	9.21034	9.323669	9.418329	9.546813	9.632729	9.754988	9.886646	10.06361	10.29553	0
1981	"Alabama"	5.298317	7.090077	7.803027	8.037543	8.417373	8.692825	8.794825	8.961879	9.103535	9.22818	9.36246	9.472705	9.585346	9.67903	9.775654	9.903288	9.975808	10.10643	10.34174	1
1982	"Alabama"	4.204693	6.684612	7.544332	8.031385	8.2943	8.612503	8.844337	8.987197	9.119978	9.2399	9.392662	9.475623	9.587817	9.686326	9.852194	9.952991	10.12663	10.23405	10.41481	1
1983	"Alabama"	5.062595	6.967909	7.828835	8.171599	8.476371	8.699514	8.888757	9.047821	9.208339	9.350102	9.439625	9.546813	9.625756	9.743143	9.87817	9.98276	10.09411	10.24956	10.57026	1
1984	"Alabama"	5.703783	7.153052	7.740664	8.163941	8.517193	8.717191	8.974618	9.126959	9.256365	9.394743	9.480368	9.60589	9.683776	9.799792	9.912051	10.0439	10.1425	10.31477	10.60659	1
1985	"Alabama"	5.703783	6.962244	7.661057	8.137103	8.501063	8.733916	8.898911	9.105091	9.222269	9.330255	9.473858	9.615806	9.738554	9.85035	9.963312	10.10193	10.19646	10.34174	10.52487	1
1986	"Alabama"	5.480639	7.099202	7.788211	8.283999	8.564076	8.779557	8.987197	9.159047	9.304195	9.450302	9.555347	9.648595	9.778491	9.903487	9.998797	10.13002	10.25766	10.41031	10.64542	1
1987	"Alabama"	5.438079	7.313221	7.824046	8.294049	8.637107	8.818482	8.987197	9.126959	9.252441	9.408289	9.546813	9.662689	9.798127	9.903487	9.998843	10.15979	10.30748	10.4631	10.74781	1
1988	"Alabama"	5.723585	7.313221	8.006368	8.517193	8.764053	8.948976	9.10498	9.25913	9.394077	9.547098	9.661416	9.781094	9.903487	9.984238	10.08581	10.14643	10.31145	10.51089	10.69648	1
1989	"Alabama"	6.810143	7.901007	8.294049	8.654692	8.853665	9.024011	9.21034	9.3147	9.440578	9.52661	9.615806	9.740969	9.820649	9.920197	10.03047	10.14694	10.30895	10.4631	10.71486	1
1990	"Alabama"	6.907755	7.632401	8.392989	8.648221	8.880307	9.111625	9.242807	9.392662	9.472705	9.615806	9.702167	9.798127	9.895254	9.999389	10.12663	10.24014	10.37443	10.50197	10.71664	1
1991	"Alabama"	6.289716	7.600903	8.324336	8.572817	8.883224	9.10498	9.212937	9.392662	9.510667	9.615806	9.740969	9.852194	9.952278	10.04325	10.16631	10.31145	10.46453	10.6183	10.79958	1
1992	"Alabama"	6.64639	7.751475	8.473868	8.672486	8.922658	9.117128	9.248599	9.421412	9.610457	9.680344	9.798127	9.903487	10.03012	10.12663	10.24174	10.39611	10.51884	10.64542	10.81988	1
1993	"Alabama"	6.802395	8.03106	8.517193	8.728264	8.999619	9.21034	9.352621	9.472705	9.615939	9.711116	9.814547	9.92329	10.05694	10.16585	10.30895	10.4091	10.57771	10.71442	10.97859	1
1994	"Alabama"	6.905753	7.882315	8.540519	8.760453	8.987197	9.208339	9.392662	9.522959	9.615806	9.690294	9.798127	9.907579	10.04325	10.12987	10.24206	10.39207	10.55821	10.71442	11.00223	1
1995	"Alabama"	6.620073	8.006368	8.517193	8.853665	9.007122	9.232101	9.392662	9.517825	9.648595	9.781828	9.907828	10.04325	10.14643	10.30895	10.38369	10.49127	10.61673	10.78062	11.0046	1
1996	"Alabama"	7.090077	8.006368	8.571681	8.881836	9.13777	9.353575	9.486987	9.615672	9.680344	9.809176	9.903487	10.05139	10.13551	10.22648	10.35955	10.46524	10.60398	10.7857	11.08214	1
1997	"Alabama"	7.600903	8.395703	8.853665	9.10498	9.305651	9.472705	9.636849	9.788638	9.867861	9.942708	10.04351	10.16585	10.26639	10.37349	10.46325	10.56442	10.66896	10.8224	11.11245	1
1998	"Alabama"	7.600903	8.476371	8.764053	9.041449	9.305651	9.510445	9.668271	9.798127	9.903487	10.00052	10.09856	10.20359	10.30895	10.37349	10.52589	10.64185	10.76321	10.90071	11.08214	1
1999	"Alabama"	7.600903	8.536996	8.922658	9.21084	9.472705	9.615806	9.740969	9.901586	9.998797	10.12663	10.21207	10.30895	10.37349	10.4631	10.57669	10.67628	10.82178	10.94518	11.22538	1
2000	"Alabama"	7.783224	8.590444	8.992185	9.249561	9.464207	9.642707	9.775654	9.85582	9.98433	10.08614	10.20359	10.31162	10.3886	10.4801	10.59663	10.71442	10.84992	11.00277	11.21452	1
2001	"Alabama"	7.600903	8.699514	9.033007	9.25913	9.472705	9.615806	9.798127	9.903737	10.01391	10.12663	10.20359	10.30895	10.37589	10.49127	10.59663	10.71517	10.82407	11.01548	11.2504	1
1977	"Alaska"	6.802395	7.590852	8.04719	8.411833	8.665613	8.863333	8.998384	9.11482	9.249561	9.365205	9.473474	9.602383	9.711116	9.857444	10.03012	10.13062	10.23996	10.38665	10.58658	1
1978	"Alaska"	6.684612	7.600903	8.006368	8.33711	8.682708	8.881836	9.067624	9.21034	9.339261	9.471165	9.609117	9.711116	9.820106	9.906881	10.04325	10.14053	10.27505	10.45732	10.63945	1
1979	"Alaska"	5.298317	6.464588	7.46164	8.01036	8.517193	8.717355	8.987197	9.159047	9.359622	9.474242	9.651816	9.791327	9.904587	10.01891	10.10447	10.20359	10.3189	10.43998	10.61582	1
1980	"Alaska"	4.905275	6.810143	8.006701	8.508758	8.779557	8.987197	9.126959	9.289983	9.393495	9.546813	9.695848	9.852194	9.921917	10.01682	10.13856	10.25713	10.35885	10.4967	10.6707	1
1981	"Alaska"	4.60517	6.988413	8.006368	8.477412	8.697179	8.987197	9.108308	9.310185	9.442959	9.55393	9.712448	9.874316	9.963641	10.12503	10.25626	10.37972	10.49819	10.65254	10.82052	1
1982	"Alaska"	6.098074	7.272398	8.04719	8.571681	8.817298	9.052516	9.227296	9.4022	9.54938	9.680656	9.798127	9.929399	10.04975	10.13102	10.24174	10.35758	10.47164	10.65018	10.85707	1
1983	"Alaska"	6.907755	7.522941	8.114624	8.576782	8.901094	9.161675	9.305651	9.400961	9.519955	9.668145	9.837882	9.954656	10.07534	10.20422	10.30895	10.39892	10.54537	10.67336	10.85321	1
1984	"Alaska"	5.991465	6.908755	7.919356	8.499029	8.806125	9.103979	9.280799	9.442563	9.598998	9.740969	9.880014	9.976366	10.10181	10.18059	10.32009	10.40308	10.5321	10.69648	10.91962	1
1985	"Alaska"	5.993961	7.527256	8.318742	8.699514	9.015784	9.231612	9.40352	9.604475	9.760252	9.889946	9.967916	10.07365	10.18863	10.32157	10.46453	10.53805	10.6342	10.77856	11.00802	1
1986	"Alaska"	6.329721	7.696213	8.371473	8.804775	9.077266	9.296885	9.465293	9.615806	9.764456	9.893891	10.01753	10.1438	10.26134	10.34026	10.45028	10.55826	10.67715	10.82783	11.00954	1
1987	"Alaska"	6.320768	6.856462	8.069655	8.525162	8.962392	9.245321	9.43891	9.616939	9.727883	9.846653	9.958117	10.11892	10.22506	10.34355	10.4631	10.56504	10.70923	10.83524	11.08299	1
1988	"Alaska"	6.652863	7.553287	8.242756	8.715388	9.056256	9.305651	9.492734	9.674515	9.839215	9.969182	10.06147	10.22781	10.33228	10.40729	10.51889	10.62016	10.73492	10.85561	11.01595	1
1989	"Alaska"	6.771935	7.865572	8.349248	8.740497	9.027739	9.218209	9.447782	9.604205	9.718783	9.903487	10.04325	10.18399	10.31361	10.4088	10.51127	10.61199	10.76359	10.88514	11.13967	1
1990	"Alaska"	6.771935	7.710653	8.295299	8.641533	8.986947	9.249658	9.5377	9.72961	9.868689	9.998252	10.12663	10.26046	10.35051	10.45071	10.58221	10.70376	10.81723	10.94594	11.16156	1
1991	"Alaska"	6.982863	8.087333	8.69165	8.951958	9.250138	9.392662	9.578657	9.7116	9.89978	10.00893	10.13074	10.22296	10.32568	10.42688	10.54863	10.66996	10.79958	10.97529	11.22791	1
